min	sec	pos	Killer	Killed	Info
0	0	99	PedritoVM	Luzu.Games	Subfusil
0	3	98	Luh xD	iLeoVlogs	Fusil
0	5	97	AriGameplays	Caith_Sith	Subfusil
0	10	96	OllieGamerz	Auron_988	Subfusil
0	10	95	xAlanFTP	GÃ¼ismichu	Escopetazo
0	10	94	elchurches	RicardoEdiciones	Escopetazo
0	10	93	Brii	AkaroFriki	Escopetazo
0	11	92	PedritoVM	KeyBladeRap	Subfusil
0	11	91	DavidHCYT	chincheta77	Escopetazo
0	11	90	dementeyt	Lolweapon Kala	Escopetazo
0	11	89	Stratus_yt	DavidHCYT	Escopetazo
0	13	88	TheCatacroquer	Deiak	Fusil
0	14	87	NexxuzHD	LOLiTOFDEZ	Escopetazo
0	14	86	Chusita	SoyFelipez360	Aporreado
0	15	85	DifferentHeaven	orslok	Escopetazo
0	16	84	DoctorePoLLito	greg_official	Fusil
0	16	83	Dante Caro	Mr Sokii	Fusil
0	17	82	iTown	DSimphonyHD	Aporreado
0	17	81	KAJALNAPALM	Brii	Subfusil
0	17	80	MegaGlowenYT	Natsuki_Sel	Pistola
0	17	79	Ampeterby77	ALK4PON3OP	Fusil
0	19	78	xWithZachx	DoctorePoLLito	Escopetazo
0	19	77	srserpiente	WhiteZunder	Fusil
0	21	76	JugandConNatalia	TheCatacroquer	Escopetazo
0	21	75	CrackerMc	TheShooterCoYT	Pistola
0	22	74	dannyancat	Breifr9	Trampa
0	22	73	G2ocelote	xAgustin5111	Escopetazo
0	22	72	xWithZachx	Miaresproject	Escopetazo
0	24	71	Rubiuh	srserpiente	Subfusil
0	24	70	Luh xD	AmandaEthieen	Escopetazo
0	25	69		21EDDISPLAY	Acabado
0	27	68	Stratus_yt	Outconsumer	Escopetazo
0	28	67	dementeyt	buckfdez	Escopetazo
0	28	66	xAlanFTP	elgabomontiel	Escopetazo
0	30	65	dannyancat	Eurogamerspain	Escopetazo
0	30	64	Luh xD	KAJALNAPALM	Escopetazo
0	31	63	NexxuzHD	MegaGlowenYT	Escopetazo
0	31	62	Menos Trece	AntraxYoutube	Aporreado
0	33	61	KNekro	Pumuscor	Fusil
0	34	60	byRovi23	Luh xD	Pistola
0	34	59	dementeyt	Chusita	Escopetazo
0	34	58	josemiCod5YT	FramMGYT	Fusil
0	35	57	xJacky78	Theatretegg1	Trampa
0	35	56	AdvyStyles-YT	Alvaro845-gaming	Escopetazo
0	35	55	BersGamerYT	F3RNaNFLOO xD	Fusil
0	36	54	Huedo	NexxuzHD	Subfusil
0	38	53	Ampeterby77	dementeyt	Fusil
0	39	52	4andeR	Maximus3blog	Pistola
0	39	51	THEBLACKB1RD2	KronnoZomberZ4E	Escopetazo
0	39	50	KNekro	HiClavero	Escopetazo
0	42	49	AriGameplays	CrackerMc	Pistola
0	44	48	elchurches	Menos Trece	Escopetazo
0	46	47	ChupyKusa	Perxitaa	Trampa
0	50	46	TheZarcort	KNekro	Subfusil
0	52	45	xWithZachx	Spain_Fury	Escopetazo
0	54	44	DifferentHeaven	RobleisJAJA	Escopetazo
0	55	43	Dante Caro	Lili_Cross	Fusil
0	59	42	TheZarcort	Dante Caro	Subfusil
1	1	41	Stratus_yt	Kion15	Escopetazo
1	6	40	AlphaSniper_97	Sr_Ze_ta	Pistola
1	9	39	CORVUSPIG	BersGamerYT	Escopetazo
1	10	38	DjMaRiiO_	SalvadorRaya	Fusil
1	10	37	DifferentHeaven	Huedo	Escopetazo
1	10	36	G2ocelote	ApixeladosYT	Escopetazo
1	12	35	Ampeterby77	SrCheeto	Escopetazo
1	13	34	4andeR	AriGameplays	Pistola
1	16	33	elchurches	Ampeterby77	Escopetazo
1	18	32	Rubiuh	Forfast	Subfusil
1	27	31	DifferentHeaven	THEBLACKB1RD2	Escopetazo
1	33	30	CelopanYT	Saselsasel	Fusil
1	34	29	Stratus_yt	CORVUSPIG	Escopetazo
1	41	28	iTown	byRovi23	Fusil
1	43	27	dannyancat	G2ocelote	Escopetazo
1	53	26	xWithZachx	TheZarcort	Fusil
2	4	25	YT PikAHiMoViC	EIvisa	Pistola
2	5	24	xWithZachx	AlphaSniper_97	Fusil
2	5	23	dannyancat	josemiCod5YT	Trampa
2	9	22	JugandConNatalia	PedritoVM	Escopetazo
2	18	21	xWithZachx	CelopanYT	Fusil
2	18	20	ImBrigitteGrey	DjMaRiiO_	Subfusil
2	26	19	OllieGamerz	xJacky78	Subfusil
2	33	18	elchurches	ImBrigitteGrey	Escopetazo
2	34	17	dannyancat	AdvyStyles-YT	Trampa
2	42	16	4andeR	JugandConNatalia	Pistola
2	49	15	dannyancat	iTown	Subfusil
3	9	14	xWithZachx	Rubiuh	Escopetazo
3	42	13	ChupyKusa	OllieGamerz	Fusil
3	57	12	4andeR	elchurches	Escopetazo
4	23	11	DifferentHeaven	Stratus_yt	Escopetazo
4	34	10	ChupyKusa	4andeR	Fusil
4	37	9	xWithZachx	ChupyKusa	Fusil
6	32	8	FolagoRRRR	Mangel91	Escopetazo
6	56	7	Zormaius	xAlanFTP	Fusil
7	16	6	DifferentHeaven	Zormaius	Escopetazo
7	59	5	xWithZachx	DifferentHeaven	Escopetazo
8	25	4	FolagoRRRR	xWithZachx	Escopetazo
10	25	3		FolagoRRRR	Tormenta
18	11	2	dannyancat	YT PikAHiMoViC	Escopetazo
18	11	1		dannyancat	Victoria Magistral!